券種,買い目,odds,id
3連複,13-14-15,2220,20230819_新潟_結果_5
3連複,2-12-16,32130,20230819_新潟_結果_6
3連複,5-10-13,5590,20230819_新潟_結果_7
3連複,3-6-8,8330,20230819_新潟_結果_8
3連複,9-11-14,8620,20230819_新潟_結果_9
3連複,4-10-15,12490,20230819_新潟_結果_10
3連複,3-4-7,4550,20230819_新潟_結果_11
3連複,7-8-14,1600,20230819_新潟_結果_12
3連複,2-9-11,260,20230819_札幌_結果_1
3連複,1-4-11,3750,20230819_札幌_結果_2
3連複,1-7-13,2770,20230819_札幌_結果_3
3連複,1-11-12,5190,20230819_札幌_結果_4
3連複,8-9-11,830,20230819_札幌_結果_5
3連複,3-6-14,5100,20230819_札幌_結果_6
3連複,2-6-16,56950,20230819_札幌_結果_7
3連複,1-6-10,1980,20230819_札幌_結果_8
3連複,2-11-14,5100,20230819_札幌_結果_9
3連複,2-4-16,2410,20230819_札幌_結果_10
3連複,5-8-11,1930,20230819_札幌_結果_11
3連複,6-9-12,2810,20230819_札幌_結果_12
3連複,1-7-9,630,20230820_小倉_結果_1
3連複,1-4-5,270,20230820_小倉_結果_2
3連複,5-9-13,14660,20230820_小倉_結果_3
3連複,9-13-16,21660,20230820_小倉_結果_4
3連複,1-13-16,9410,20230820_小倉_結果_5
3連複,2-3-4,4560,20230820_小倉_結果_6
3連複,1-11-14,8880,20230820_小倉_結果_7
3連複,3-5-7,2750,20230820_小倉_結果_8
3連複,5-11-15,32790,20230820_小倉_結果_9
3連複,3-7-9,26130,20230820_小倉_結果_10
3連複,1-9-15,16910,20230820_小倉_結果_11
3連複,3-5-12,1880,20230820_小倉_結果_12
3連複,3-4-7,870,20230820_新潟_結果_1
3連複,2-6-8,2000,20230820_新潟_結果_2
3連複,4-5-9,3460,20230820_新潟_結果_3
3連複,4-10-14,117590,20230820_新潟_結果_4
3連複,4-7-15,6170,20230820_新潟_結果_5
3連複,11-12-18,2160,20230820_新潟_結果_6
3連複,4-13-18,155380,20230820_新潟_結果_7
3連複,10-11-12,20530,20230820_新潟_結果_8
3連複,7-14-17,16190,20230820_新潟_結果_9
3連複,1-7-15,8710,20230820_新潟_結果_10
3連複,4-7-12,7070,20230820_新潟_結果_11
3連複,3-10-15,35110,20230820_新潟_結果_12
3連複,1-4-8,3270,20230820_札幌_結果_1
3連複,7-9-12,4390,20230820_札幌_結果_2
3連複,3-10-13,2150,20230820_札幌_結果_3
3連複,3-10-13,4340,20230820_札幌_結果_4
3連複,2-4-9,1170,20230820_札幌_結果_5
3連複,4-5-6,1550,20230820_札幌_結果_6
3連複,10-12-14,1440600,20230820_札幌_結果_7
3連複,4-7-8,9820,20230820_札幌_結果_8
3連複,1-7-10,1510,20230820_札幌_結果_9
3連複,2-6-13,16540,20230820_札幌_結果_10
3連複,1-10-13,28200,20230820_札幌_結果_11
3連複,8-9-13,6640,20230820_札幌_結果_12
3連複,2-4-6,1470,20230826_小倉_結果_1
3連複,4-10-12,465960,20230826_小倉_結果_2
3連複,1-2-8,3140,20230826_小倉_結果_3
3連複,4-5-8,10000,20230826_小倉_結果_4
3連複,8-9-11,5820,20230826_小倉_結果_5
3連複,4-8-10,21650,20230826_小倉_結果_6
3連複,13-15-16,3160,20230826_小倉_結果_7
3連複,6-8-13,7610,20230826_小倉_結果_8
3連複,4-8-16,400,20230826_小倉_結果_9
3連複,5-6-8,46680,20230826_小倉_結果_10
3連複,4-7-8,120820,20230826_小倉_結果_11
3連複,3-6-12,2890,20230826_小倉_結果_12
3連複,3-6-8,215810,20230826_新潟_結果_1
3連複,1-4-15,1370,20230826_新潟_結果_2
3連複,3-9-10,70740,20230826_新潟_結果_3
3連複,1-14-15,12940,20230826_新潟_結果_4
3連複,2-3-11,11920,20230826_新潟_結果_5
3連複,5-9-17,10640,20230826_新潟_結果_6
3連複,4-7-15,3900,20230826_新潟_結果_7
3連複,1-5-11,860,20230826_新潟_結果_8
3連複,3-7-10,40370,20230826_新潟_結果_9
3連複,1-6-8,18040,20230826_新潟_結果_10
3連複,4-7-12,16790,20230826_新潟_結果_11
3連複,1-4-10,10590,20230826_新潟_結果_12
3連複,3-4-6,2460,20230826_札幌_結果_1
3連複,3-4-5,1110,20230826_札幌_結果_2
3連複,6-10-12,8500,20230826_札幌_結果_3
3連複,1-7-11,11080,20230826_札幌_結果_4
3連複,2-5-10,3450,20230826_札幌_結果_5
3連複,2-9-12,11250,20230826_札幌_結果_6
3連複,3-6-11,5130,20230826_札幌_結果_7
